TEMA,asignatura
Actividad integradora - demencia,Asignatura 9
Mecanica cardiaca,Asignatura 1
Cardiopatía isquémica (Patologia-Md Interna )Meek,Asignatura 4
Presentación póster de políticas,Asignatura 9
Presentación de protocolos,Asignatura 3
Mecanismos para reemplazar la función del páncreas endocrino,Asignatura 4
Generalidades de plexos y dermatomas,Asignatura 9
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 5
Histología funcional intestinal,Asignatura 5
Taller de entrevista clínica. Grupo viernes,Asignatura 2
5. TBC,Asignatura 1
Anfiteatro de Dorso,Asignatura 7
Fibrosis quística,Asignatura 1
Ética médica y riesgo,Asignatura 7
43. Laboratorio Gastro - EDA - Grupo A,Asignatura 10
Reunión con tutores,Asignatura 3
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
Repaso neuroanatomía,Asignatura 9
Evaluación final escrita,Asignatura 1
Taller de exploración psicopatológica 4: Valoración de la memoria y las funciones ejecutivas,Asignatura 9
Abordaje Integrado del Cáncer de Próstata,Asignatura 6
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Aminoácidos y proteínas,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 4
Anfiteatro pelvis osea & Cond. Inguinal ,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Soporte Vital,Asignatura 1
Patología del tracto respiratorio superior,Asignatua 4
Actividad integadora - Afecto,Asignatura 9
Diabtes mellitus - Situaciones integradoras,Asignatura 10
Taller de exploración psicopatológica 6. Examen mental de entrevista a paciente,Asignatura 9
Ayudas diagnósticas en nefrología,Asignatura 10
Anamnesis Neurológica - Síndrome Sensitivo,Asignatura 9
Regulación de la fecundidad. Consejería,Asignatura 10
Diarrea / malabsorción,Asignatura 5
"Cadenas ganglionares de los vasos linfáticos del cuello, conducto torácico",Asignatua 4
Expresando la Medicina II Grupo 1 -Medicina Narrativa / Grupo 2 Gratitud,Asignatura 9
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Malformaciónes congénitas múltiples,Asignatura 1
Primera evaluacion teórica  fundamentos de la clínica,Asignatura 1
9. Hipovolemia,Asignatura 1
"C-SM Anatomía funcional de cavidad oral, faringe y esófago (SYM2) ",Asignatura 4
ESCRITURA CREATIVA PERFORMING MEDICINE,Asignatura 10
Seguimiento de tutores,Asignatura 3
Manejo renal de solutos,Asignatura 6
7. Silicoantracosis,Asignatura 1
Historia Clínica psiquiátrica,Asignatura 9
Anatomía del oído eterno y medio,Asignatura 9
16. Malnutrición,Asignatura 4
Falla cardiaca,Asignatura 1
La historia clínica en cuidado primario,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
24. Laboratorio de Resistencia Antimicrobiana - Grupo B,Asignatura 10
chequeo semanal,Asignatura 9
 Conceptos centrales en historia de la medicina: paradigmas y prácticas en salud II,Asignatura 1
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Laboratorio de control motor,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Introducción a la medicina basada en la evidencia y pregunta PICO,Asignatura 10
13. Cardiopatía congénita,Asignatura 4
Revisión de Notas,Asignatura 3
Taller de anatomía vias de respuesta autónoma,Asignatura 9
Taller fosa ptarigopalatina-trigemino/ Laboratorio de histología de via aerea superior/ 2 grupos,Asignatua 4
Actividad integradora - Movimientos anormales,Asignatura 9
C-SM Aspectos funcionales del sistema reproductor masculino 2: Control neuroendocrino de la pubertad masculina,Asignatura 7
chequeo semanal,Asignatura 9
"Anfiteatro nariz senos paranasales, trigemino,fosa pterigopalatina y laringe/ Laboratorio de histología de via aerea superior/ 2 grupos",Asignatua 4
Orientación y planos,Asignatura 1
Repaso Neuroanatomía - histología,Asignatura 7
Sangrado vaginal,Asignatura 7
Presentación estudiantes - tutoria 1,Asignatura 10
